Vehicle Name	Date	Time	depot_lat/depot_lon
C2_KA04AA7688_DESILTING	29/12/2023	09:03:25	13.0013/77.6277
E1_KA04D5122_TANKER	26/01/2023	23:58:47	13.0208/77.6497
E1_KA04D5122_TANKER	26/04/2023	23:59:01	13.0208/77.6497
E1_KA04D5122_TANKER	27/07/2023	23:58:40	13.0209/77.6497
E1_KA04D5122_TANKER	27/10/2023	23:58:52	13.0209/77.6497
N11_KA04AA7682_DESILTING	17/02/2023	10:22:14	13.0578/77.5733
N11_KA04AA7682_DESILTING	17/02/2023	10:22:14	13.0578/77.5733
N11_KA04AA7682_DESILTING	17/02/2023	10:22:14	13.0578/77.5733
N11_KA04AA7682_DESILTING	17/02/2023	10:22:14	13.0578/77.5733
N12_KA04A6215_JETTING	19/08/2023	10:51:09	13.0253/77.6075
N12_KA04A6215_JETTING	19/08/2023	10:51:09	13.0253/77.6075
N21_KA04C2201_JETTING	16/10/2023	13:29:52	13.1062/77.5658
N21_KA04C2201_JETTING	16/10/2023	13:29:52	13.1062/77.5658
NE1_KA04A6216_JETTING	26/01/2023	13:55:17	13.0113/77.5677
NE1_KA04A6216_JETTING	26/04/2023	21:13:25	13.0105/77.5668
NE1_KA04A6216_JETTING	27/07/2023	12:46:10	13.0111/77.5674
NE1_KA04A6216_JETTING	27/10/2023	15:50:40	13.0111/77.5678
NE1_KA04A9516_JETTING	26/01/2023	23:58:40	13.0102/77.5666
NE1_KA04A9516_JETTING	26/04/2023	23:57:00	13.0103/77.5666
NE1_KA04A9516_JETTING	21/07/2023	14:36:04	13.0105/77.5667
NE1_KA04A9516_JETTING	27/10/2023	16:01:49	12.9310/77.5400
NE1_KA04AA7689_JETTING	27/10/2023	23:58:32	12.9891/77.5653
NE1_KA04B7111_TANKER	17/01/2023	15:52:11	13.0116/77.5675
NE1_KA04B7111_TANKER	25/04/2023	17:23:40	13.0112/77.5676
NE1_KA04B7111_TANKER	24/07/2023	14:33:21	13.0112/77.5675
NE1_KA04B7111_TANKER	27/10/2023	11:30:39	13.0120/77.5669
NE1_KA04B7112_TANKER	26/01/2023	23:58:08	13.0112/77.5673
NE1_KA04B7112_TANKER	12/02/2023	10:13:51	13.0111/77.5673
NE1_KA04B7112_TANKER	04/07/2023	15:17:53	13.0111/77.5673
NE1_KA04B7112_TANKER	04/07/2023	15:17:53	13.0111/77.5673
NE1_KA04B7112_TANKER	04/07/2023	15:17:53	13.0111/77.5673
NE1_KA04C5136_JETTING	26/01/2023	23:57:58	13.0106/77.5668
NE1_KA04C5136_JETTING	26/04/2023	23:58:34	13.0103/77.5667
NE1_KA04C5136_JETTING	27/07/2023	23:58:52	13.0104/77.5665
NE1_KA04C5136_JETTING	27/10/2023	23:58:19	13.0103/77.5667
NE1_KA04D5158_JETTING	26/01/2023	23:58:43	12.9891/77.5650
NE1_KA04D5158_JETTING	19/04/2023	09:42:56	12.9892/77.5652
NE1_KA04D5158_JETTING	27/07/2023	23:58:57	12.9891/77.5652
NE1_KA04D5158_JETTING	27/10/2023	23:14:26	12.9888/77.5652
NE1_KA04N1245_JEEP	27/10/2023	16:28:26	13.0105/77.5686
NE1_KA04N1245_JEEP	12/12/2023	15:34:53	13.0107/77.5678
NE2_KA049930_TANKER	17/02/2023	17:47:46	13.0106/77.5674
NE2_KA049930_TANKER	17/02/2023	17:47:46	13.0106/77.5674
NE2_KA049930_TANKER	17/02/2023	17:47:46	13.0106/77.5674
NE2_KA049930_TANKER	17/02/2023	17:47:46	13.0106/77.5674
NE2_KA04A9517_JETTING	14/01/2023	15:38:32	12.9894/77.5711
NE2_KA04A9517_JETTING	14/01/2023	15:38:32	12.9894/77.5711
NE2_KA04A9517_JETTING	14/01/2023	15:38:32	12.9894/77.5711
NE2_KA04A9517_JETTING	14/01/2023	15:38:32	12.9894/77.5711
NE2_KA04A9517_JETTING	14/01/2023	15:38:32	12.9894/77.5711
NE2_KA04AB5800_JETTING	02/01/2023	22:51:36	13.0103/77.5671
NE2_KA04AB5800_JETTING	02/01/2023	22:51:36	13.0103/77.5671
NE2_KA04AB5800_JETTING	27/07/2023	23:58:35	13.0103/77.5673
NE2_KA04AB5800_JETTING	27/10/2023	23:58:42	13.0103/77.5672
NE2_KA04B7110_TANKER	02/01/2023	12:57:56	13.0109/77.5672
NE2_KA04B7110_TANKER	02/01/2023	12:57:56	13.0109/77.5672
NE2_KA04B7110_TANKER	27/07/2023	23:58:52	13.0104/77.5666
NE2_KA04B7110_TANKER	27/10/2023	23:58:02	13.0103/77.5668
NE2_KA04C5137_JETTING	26/01/2023	14:42:55	13.0103/77.5668
NE2_KA04C5137_JETTING	26/04/2023	23:58:19	13.0104/77.5667
NE2_KA04C5137_JETTING	27/07/2023	23:58:53	13.0104/77.5668
NE2_KA04C5137_JETTING	27/10/2023	23:58:46	13.0105/77.5665
NE2_KA04D4272_JETTING	25/01/2023	13:10:32	12.9971/77.5812
NE2_KA04D4272_JETTING	18/04/2023	12:05:55	12.9938/77.5740
NE2_KA04D4272_JETTING	27/07/2023	23:58:50	12.9903/77.5781
NE2_KA04D4272_JETTING	27/10/2023	23:58:32	12.9903/77.5781
NE2_KA05AD2943_DESILTING	27/07/2023	23:58:05	
NE2_KA05AD2943_DESILTING	27/10/2023	23:58:55	13.0121/77.6560
