Device ID	Zone ID	Vehicle Number	IMEI
c1_ka02ac5939_jetting	c1	KAO2AC5939	tk_868683022806388
C1_KA041A7291_Jetting	C1	KA041A7291	tk_868683022808483
C1_KA04850_Tanker	C1	KA04850	tk_868683022806990
C1_KA04AA9013_Desilting	C1	KA04AA9013	tk_864895033188689
C1_KA04AA9013_desilting	C1	KA04AA9013	tk_864895033188689
C1_KA04C5126_Jetting	C1	KA04C5126	tk_868683022790160
C1_KA04D5123_Tanker	C1	KA04D5123	tk_868683022810091
C2_ KA04AD2944_Desilting	C2	KA04AD2944	tk_868683022797280
C2_KA04C5127_Jetting	C2	KA04C5127	tk_868683022786754
C2_KA04D4107_Jetting	C2	KA04D4107	tk_868683022788198
C2_KA04D5121_Tanker	C2	KA04D5121	tk_868683022802015
C3 KA03C5048_Tanker	C3 	KA03C5048	tk_868683022795151
C3_KA02AC5935_Jetting	C3	KA02AC5935	tk_868683022490233
C3_KA02AC5950_Jetting	C3	KA02AC5950	tk_868683022809655
C3_KA03B965_Jetting	C3	КАОЗВ 965	tk_864180032712791
C3_KA03C5064_Tanker -	C3	KA03C5064	tk_868683022997435
C3_KA04AA7688_desilting	C3	KA04AA7688	tk_868683022407500
C3_KA04AA7688_Desilting •	C3	KA04AA7688	tk_868683022407500
C3_KA04AA9028_desilting	C3	KA04AA9028	tk_864895033188358
C3_KA04AA9028_Desilting •	C3	KA04AA9028	tk_864895033188358
C3_KA04C3716 Jetting	C3	KA04C3716	tk_868683022789915
C3_KA04C5156_Jetting-.	C3	KA04C5156	tk_868683022792992
C3_KA04C5160_Jetting	C3	KA04C5160	tk_868683022807170
C3_KA04D4276_Jetting	C3	KA04D4276	tk_868683022801629
C3_KA05D8078_Tanker	C3	KA05D8078	tk_868683022810364
E1_KA02AC4521_Jetting	E1	КА0ЗC5060	tk_868683022790319
E1_KA03C5060_Tanker	E1	Ka02AC4521	tk_868683022800472
E1_KA04A3281_Jetting	E1	KA04A3281	tk_868683022830115
E1_KA04AA9026_Desilting	E1	KA04AA9026	tk_864895033187632
E1_KA04AA9026_desilting	E1	KA04AA9026	tk_864895033187632
E1_KA04AB6024_Jetting	E1	KA04AB6024	tk_864895033187848
E1_KA04AB6024_jetting machine	E1	KA04AB6024	tk_864895033187848
E1_KA04C5153_Jetting	E1	KA04C5153	tk_868683022790111
E1_KA04D4862_Jetting	E1	KA04D4862	tk_868683022846319
E1_KA04D5122_Tanker	E1	KA04D5122	tk_868683022806925
E1_KA04D5294_Tanker	E1	KA04D5294	tk_868683022830537
E2_KA04AA9023_Desilting	E2	KA04AA9023	tk_864895033187608
E2_KA04AA9023_desilting	E2	KA04AA9023	tk_864895033187608
E2_KA04AB6020_Jetting	E2	KA04AB6020	tk_864895033187541
E2_KA04AB6020_jetting machine	E2	KA04AB6020	tk_864895033187541
E2_KA04D5163_Jetting	E2	KA04D5163	tk_868683022805422
E2_KA04D5289_tanker	E2	KA04d5289	tk_868683022792505
E3_KA02AF6874_Tanker	E3	KA04AF6874	tk_864895033187186
E3_KA04AA9032_Desilting	E3	KA04AA9032	tk_864895033187244
E3_KA04AA9032_desilting	E3	KA04AA9032	tk_864895033187244
E3_KA04AB6023_Jetting	E3	KA04AB6023	tk_864895033187962
E3_KA04AB6023_jetting machine	E3	KA04AB6023	tk_864895033187962
E3_KA04C5159_Jetting	E3	KA04C5159	tk_868683022788388
E3_KA04D5127_Tanker	E3	KA04C5127	tk_868683022786507
E3_KA04SD4157_Jetting	E3	KA04SD4157	tk_868683022818896
E4_KA02AC4534_Jetting	E4	KAO2AC4534	tk_868683022800233
E4_KA04AA7684_Desilting	E4	KA04AA7684	tk_864895033188382
E4_KA04AA7684_desilting	E4	KA04AA7684	tk_864895033188382
E4_KA04AB6022_Jetting	E4	KA04AB6022	tk_864895033188085
E4_KA04AB6022_jetting machine	E4	KA04AB6022	tk_864895033188085
E4_KA04D5309_Tanker	E4	KA04D5309	tk_868683022806313
E4_KA04D6648_Jetting	E4	KA04D6648	tk_868683022810588
E4_KA04D6650_Jetling	E4	KA04D6650	tk_868683022791861
N1_KA04AA9031_Desilting	N1	KA04AA9031	tk_864895033187277
N1_KA04AA9031_desilting	N1	KA04AA9031	tk_864895033187277
N1_KA04AB6025_JETTING	N1	KA04AB6025	tk_864180032927530
N1_KA04C5141_Jetting	N1	KA04C5141	tk_868683022802379
N1_KA04D4274_Jetting	N1	KA04D4274	tk_864180032711678
N1_KA04D5126_Tanker	N1	KA04D5126	tk_868683022791127
N2_KA04AA9015_desilting	N2	KA04AA9015	tk_864895033187756
N2_KA04AA9015_Desitting	N2	KA04AA9015	tk_864895033187756
N2_KA04AB5791_Jetting	N2	KA04AB5791	tk_864895033187814
N2_KA04AB5791_jetting machine	N2	KA04AB5791	tk_864895033187814
N2_KA04C2201_Jetting	N2	KA04C2201	tk_868683022811453
N2_KA04D5125_Tanker	N2	KA04D5125	tk_868683022793727
N3_KA02AC4516_Jetting	N3	KA02AC4516	tk_868683022153823
N3_KA02AC4524_Jetting	N3	KA02AC4524	tk_868683022871317
N3_KA04AA7682_Desilting	N3	KA04AA7682	tk_8991000903999319608
N3_KA04AA7682_desilting	N3	KA04AA7682	tk_8991000903999319608
N3_KA04AD5792_Jetting	N3	KA04AD5792	tk_864895033186550
N3_KA04AD5792_jetting machine	N3	KA04AD5792	tk_864895033186550
N3_KA04C5142_Jetting	N3	KA04C5142	tk_868683022488278
N3_KA04D4102_Jetting	N3	KA04D4102	tk_359710040534845
N3_KA04D5128_Tanker	N3	KA04D5128	tk_868683022833291
N3_KA04D6659_Jetting	N3	KA04D6659	tk_868683022490530
NE1_KA02AC5939_Jetting	NE1	KA02AC5939	tk_868683022806388
NE1_KA04A6216_Jetting	NE1	KA04A6216	tk_864180032935368
NE1_KA04A9516_Jetting	NE1	Ka04A9516	tk_868683022153708
NE1_KA04B7111_Tanker	NE1	KA04B7111	tk_868683022154987
NE1_KA04B7112_Tanker	NE1	KA04B7112	tk_868683022489854
NE1_KA04C5136_Jetting	NE1	KA04C5136	tk_868683022416212
NE1_KA04D5161_Jetting	NE1	KA04D5161	tk_868683022871705
NE2_KA04A9517_Jetting	NE2	KA04A9517	tk_868683022810646
NE2_KA04AB5800_Jetting	NE2	KA04AB5800	tk_864895033188507
NE2_KA04AB5800_jetting machine	NE2	KA04AB5800	tk_864895033188507
NE2_KA04B7110_Tanker-	NE2	KA04B7110	tk_868683020517144
NE2_KA04C5137_Jetting	NE2	KA04C5137	tk_868683022489599
NE2_KA04D4272_Jetting	NE2	KA04D4272	tk_868683022152890
NE2_KA05AD2943_Desilting	NE2	KA05AD2943	tk_864895033188655
NE2_KA05AD2943_desilting	NE2	KA05AD2943	tk_864895033188655
NE3_KA02AC5944_Jetting	NE3	KA02AC5944	tk_868683022482057
NE3_KA049930_Tanker	NE3	KА049930	tk_868683022155752
NE3_KA04A3042_Jetting	NE3	KA04A3042	tk_864180032931144
NE3_KA04A6215_Jetting	NE3	KА04A6215	tk_864895033188473
NE3_KA04AA1780_Desilting	NE3	KA04AA1780	tk_868683022808491
NE3_KA04AA1781_Desilting	NE3	KA04AA1781	tk_868683022807105
NE3_KA04AA1782_Desilting	NE3	KA04AA1782	tk_868683022802221
NE3_KA04AA1783_Desilting	NE3	KA04AA1783	tk_868683022805455
NE3_KA04AA1784_Desilting	NE3	KA04AA1784	tk_868683022883700
NE3_KA04B7114_Tanker	NE3	KА04B7114	tk_868683022407427
NE3_KA04C3715_Jetting	NE3	KA04C3715	tk_868683022153252
NE3_KA04C5140_Jetting	NE3	KAO4C5140	tk_868683022541209
NE3_KA04D4115_Jetting	NE3	KA04D4115	tk_868683022492866
NW1_KA042D3161_Tanker	NW1	KA042D3161	tk_868683022870905
NW1_KA04A9519_Jetting	NW1	KA04A9519	tk_868683022799666
NW1_KA04C5131_Jetting	NW1	KA04C5131	tk_868683022797413
NW1_KA04D4278_Jetting	NW1	KA04D4278	tk_868683022791408
NW1_KA04D6656_Jetting	NW1	KA04D6656	tk_868683022789576
NW2_/KA04AA9025_desilting	NW2	/KA04AA9025	tk_864895033187392
NW2_KA04A3043_Jetting	NW2	KAO4A3043	tk_868683022790566
NW2_KA04AA9025_Desilting	NW2	KA04AA9025	tk_864895033187392
NW2_KA04C5133_jetting	NW2	KA04C5133	tk_868683022837615
NW2_KA04D4113_Jetting	NW2	KA04D4113	tk_868683022789519
NW2_KA04D5235_Tanker	NW2	KA04D5235	tk_868683022812196
NW3_KA04AA7686_Desilting	NW3	KA04AA7686	tk_868683022864460
NW3_KA04AB6028_Jetting	NW3	KA04AB6028	tk_864895033187301
