Sl No.,Device ID,Zone ID,Vehicle Number,Vehicle Type,IMEI,Status,October_22 Match,RA_11 Match
2,C1_KA04850_TANKER,C1,KA04850,TANKER,tk_868683022806990,SCRAPPED,C1_KA04850_TANKER,
4,C1_KA04AA9013_DESILTING,C1,KA04AA9013,DESILTING,tk_864895033188689,WORKING,C1_KA04AA9013_DESILTING,
8,C2_KA02AH5781_JETTING,C2,KA02AH5781,JETTING,tk_862549049047403,WORKING,,
21,C3_KA04C5156_JETTING,C3,KA04C5156,JETTING,tk_868683022792992,WORKING,C3_KA04C5156_JETTING,
23,C3_KA04D4276_JETTING,C3,KA04D4276,JETTING,tk_868683022801629,WORKING,C3_KA04D4276_JETTING,
24,C3_KA05D8078_TANKER,C3,KA05D8078,TANKER,tk_868683022810364,WORKING,C3_KA05D8078_TANKER,
27,E1_KA04A3281_JETTING,E1,KA04A3281,JETTING,tk_868683022830115,WORKING,E1_KA04A3281_JETTING,
28,E1_KA04AA9026_DESILTING,E1,KA04AA9026,DESILTING,tk_864895033187632,WORKING,E1_KA04AA9026_DESILTING,
29,E1_KA04AB6024_JETTING,E1,KA04AB6024,JETTING,tk_864895033187848,WORKING,E1_KA04AB6024_JETTING,
34,E11_KA02AH5784_JETTING,E11,KA02AH5784,JETTING,tk_862549048961018,WORKING,,
35,E12_KA03AJ4270_JETTING,E12,KA03AJ4270,JETTING,tk_862549048972080,WORKING,,
36,E2_KA04AA9023_DESILTING,E2,KA04AA9023,DESILTING,tk_864895033187608,WORKING,E2_KA04AA9023_DESILTING,
37,E2_KA04AB6020_JETTING,E2,KA04AB6020,JETTING,tk_864895033187541,WORKING,E2_KA04AB6020_JETTING,
42,E3_KA02AC5938_JETTING,E3,KA02AC5938,JETTING,tk_868683022796415,WORKING,E3_KA02AC5938_JETTING,
43,E3_KA02AF6874_TANKER,E3,KA02AF6874,TANKER,tk_864895033187186,WORKING,E3_KA02AF6874_TANKER,
45,E3_KA04AA9032_DESILTING,E3,KA04AA9032,DESILTING,tk_864895033187244,WORKING,E3_KA04AA9032_DESILTING,
46,E3_KA04AB6023_JETTING,E3,KA04AB6023,JETTING,tk_864895033187962,WORKING,E3_KA04AB6023_JETTING,
51,E4_KA04AA7684_DESILTING,E4,KA04AA7684,DESILTING,tk_864895033188382,WORKING,E4_KA04AA7684_DESILTING,
