# ,Vehicle Description, Device-ID ,Date ,Time ,OdometerKm,Lat/Lon ,Address ,Latest Batt %,Since Last Check-In
1,NE1_KA04N1245_JEEP,ne1_ka04n1245_jeep,1/1/2014,6:13:00,25,,,,14d 18h 45m
2,NE1_KA04D5158_JETTING,ne1_ka04d5158_jetting,1/1/2014,13:30:01,,,,,0d 00h 00m
3,SE1_CAW210_TANKER,SE1_CAW210_Tanker,17/11/2016,15:51:15,58,12.9817/77.6284,Halsur,,2276d 22h 57m
4,SE1_CAW313_TANKER,SE1_CAW313_Tanker,23/11/2016,12:43:25,772,12.9817/77.6284,Halsur,,2255d 19h 00m
5,NE3_KA04AA1789_DESILTING,ne3_ka04aa1789_desilting,30/10/2018,14:37:57,,13.0247/77.5948,RT Nagar,,1513d 19h 53m
6,SW2_CAW311_TANKER,SW2_CAW311_Tanker,31/10/2018,11:21:59,326,12.9267/77.5598,Banagiri Nagar,,2007d 18h 31m
10,C3_KA04AA9028_DESILTING,c3_ka04aa9028_desilting,18/11/2019,16:58:37,28,13.0016/77.6279,Seva Nagar,,1128d 11h 29m
11,C1_KA04850_TANKER,c1_ka04850_tanker,20/11/2019,16:14:40,3576,12.9830/77.5851,Kanija Bhavan,,1127d 18h 15m
12,C3_KA03B965_JETTING,c3_ka03b965_jetting,30/12/2019,14:29:16,11427,12.9953/77.6152,FrazerTown,,1087d 20h 01m
13,SW2_CAW236_JETTING,sw2_caw236_jetting,2/1/2020,12:58:16,1736,12.8814/77.5453,Vasantpura,,1084d 19h 07m
14,NE2_KA04A3048_JETTING,ne2_ka04a3048_jetting,8/1/2020,10:22:15,15629,13.0186/77.6128,KÄval Bhairsandra,,1079d 00h 03m
15,SW4_KA05D8079_TANKER,sw4_ka05d8079_tanker,9/1/2020,14:10:39,16856,12.9707/77.5910,Iris Hotel,,1077d 20h 14m
16,N2_KA04C2201_JETTING,n2_ka04c2201_jetting,14/1/2020,17:02:09,21679,13.1016/77.5862,Puttanahalli,,0d 19h 20m
17,SE1_KA03B964_JETTING,se1_ka03b964_jetting,14/1/2020,18:12:54,769415,12.8804/77.5464,Vasantpura,,1072d 16h 11m
18,NE3_KA04A6215_JETTING,ne3_ka04a6215_jetting,16/1/2020,12:16:15,17587,13.0199/77.6093,KÄval Bhairsandra,,366d 20h 53m
