#,Vehicle Description,Device-ID,Date,Time,Odometer (Km),Lat/Lon,Address,Latest Batt %,Since Last Check-in,Since,Last,Check-in,Calculated Date
94,SE1_CAW210_TANKER,SE1_CAW210_Tanker,17/11/2016,15:51:15,58,12.9817/77.6284,Halsur,,2730d 23h 59m,2730d,23h,59m,04/08/2016
95,SE1_CAW313_TANKER,SE1_CAW313_Tanker,23/11/2016,12:43:25,772,12.9817/77.6284,Halsur,,2709d 20h 02m,2709d,20h,02m,25/08/2016
97,SW2_CAW311_TANKER,SW2_CAW311_Tanker,31/10/2018,11:21:59,326,12.9267/77.5598,Banagiri Nagar,,2461d 19h 33m,2461d,19h,33m,30/04/2017
96,NE3_KA04AA1789_DESILTING,ne3_ka04aa1789_desilting,30/10/2018,14:37:57,,13.0247/77.5948,RT Nagar,,1967d 20h 54m,1967d,20h,54m,06/09/2018
98,W22_KA01A5947_JETTING,w22_ka01a5947_jetting,23/08/2019,11:10:59,,12.9719/77.5127,Naagarabhaavi,,1671d 00h 21m,1671d,00h,21m,29/06/2019
99,NW11_KA04A3047_JETTING,nw11_ka04a3047_jetting,07/10/2019,10:21:25,,12.9467/77.5301,Banagiri Nagar,,1626d 01h 11m,1626d,01h,11m,13/08/2019
128,NW11_KA02B6769_JETTING,nw11_ka02b6769_jetting,16/02/2023,11:25:41,25211,12.9715/77.5550,Goripalya,,1599d 19h 00m,1599d,19h,00m,09/09/2019
100,C2_KA04AA9028_DESILTING,c2_ka04aa9028_desilting,18/11/2019,16:58:37,28,13.0016/77.6279,Seva Nagar,,1582d 12h 31m,1582d,12h,31m,26/09/2019
101,C2_KA03B965_JETTING,c2_ka03b965_jetting,30/12/2019,14:29:16,11427,12.9953/77.6152,FrazerTown,,1541d 21h 03m,1541d,21h,03m,06/11/2019
102,SW2_CAW236_JETTING,sw2_caw236_jetting,02/01/2020,12:58:16,1736,12.8814/77.5453,Vasantpura,,1538d 20h 09m,1538d,20h,09m,09/11/2019
103,NE2_KA04A3048_JETTING,ne2_ka04a3048_jetting,08/01/2020,10:22:15,15629,13.0186/77.6128,KÄval Bhairsandra,,1533d 01h 04m,1533d,01h,04m,14/11/2019
104,STP_CUBBON_PARK_KA05D8079_TANKER,stp_cubbon_park_ka05d8079_tanker,09/01/2020,14:10:39,16856,12.9707/77.5910,Iris Hotel,,1531d 21h 16m,1531d,21h,16m,16/11/2019
105,SE1_KA03B964_JETTING,se1_ka03b964_jetting,14/01/2020,18:12:54,769415,12.8804/77.5464,Vasantpura,,1526d 17h 13m,1526d,17h,13m,21/11/2019
107,SE1_KA04A3046_JETTING,se1_ka04a3046_jetting,16/01/2020,13:32:37,18216,12.9581/77.6124,Hotel Royal Heritage,,1524d 21h 53m,1524d,21h,53m,23/11/2019
113,S12_KA04C5152_JETTING,s12_ka04c5152_jetting,16/06/2020,13:04:34,18568,12.9771/77.4381,Bayandhalli,,1372d 22h 28m,1372d,22h,28m,23/04/2020
114,E24_KA03C5056_TANKER,e24_ka03c5056_tanker,07/07/2020,14:47:05,18982,13.0129/77.7054,Shigehalli,,1351d 20h 45m,1351d,20h,45m,14/05/2020
115,WWM_KC1_KA04AA5948_DESILTING,wwm_kc1_ka04aa5948_desilting,23/07/2020,13:20:39,48091,12.9006/77.5857,Hotel Nandhini J.P.Nagar,,1335d 22h 12m,1335d,22h,12m,30/05/2020
116,SW4_KA04D4605_JETTING,sw4_ka04d4605_jetting,29/07/2020,10:25:19,17890,12.9296/77.5350,Hosakerahalli,,1330d 01h 07m,1330d,01h,07m,04/06/2020
118,SW2_KA04A9520_JETTING,sw2_ka04a9520_jetting,12/01/2021,12:17:59,9897,12.9777/77.4387,Bayandhalli,,1162d 23h 13m,1162d,23h,13m,19/11/2020
106,N12_KA04AA1783_DESILTING,n12_ka04aa1783_desilting,16/01/2020,13:32:30,23445,13.0298/77.5887,CBI,,879d 00h 38m,879d,00h,38m,29/08/2021
108,NW1_KA04B6770_JETTING,nw1_ka04b6770_jetting,16/01/2020,13:32:37,16480,12.9675/77.5331,Maruthi Mandir,,871d 23h 30m,871d,23h,30m,06/09/2021
119,NE1_KA03C5068_TANKER,ne1_ka03c5068_tanker,03/03/2022,17:51:57,1056415,12.9705/77.5914,Iris Hotel,,747d 17h 41m,747d,17h,41m,08/01/2022
120,NW1_KA04A9519_JETTING,nw1_ka04a9519_jetting,22/04/2022,10:49:08,24278,13.0089/77.5490,NarayanaNethralaya,,698d 00h 43m,698d,00h,43m,26/02/2022
121,WWM_KC2_KA53B3473_DUMPTANKER,wwm_kc2_ka53b3473_dumptanker,20/05/2022,14:45:58,3327,12.9561/77.6434,Hare Krishna Residency,,669d 20h 46m,669d,20h,46m,27/03/2022
122,SW6_KA04C5129_JETTING,sw6_ka04c5129_jetting,27/07/2022,12:44:16,26916,12.8745/77.5182,Poornapragana Layout,,601d 22h 48m,601d,22h,48m,03/06/2022
123,E11_KA04D5291_TANKER,e11_ka04d5291_tanker,04/11/2022,14:35:25,3144,13.0106/77.5666,Malleshwaram,,501d 20h 57m,501d,20h,57m,11/09/2022
117,NE1_KA04A9515_JETTING,ne1_ka04a9515_jetting,07/10/2020,11:34:01,4283,13.0119/77.5677,Malleshwaram,,501d 18h 09m,501d,18h,09m,11/09/2022
124,W21_KA04A9521_JETTING,w21_ka04a9521_jetting,15/11/2022,09:35:00,61537,12.9275/77.5156,Kenchenahalli,,491d 01h 57m,491d,01h,57m,21/09/2022
125,SW1_KA04A7291_JETTING,sw1_ka04a7291_jetting,20/12/2022,12:24:22,12567,12.9806/77.5731,Hotel Rajmahal,,455d 23h 08m,455d,23h,08m,27/10/2022
126,NE2_KA04A9517_JETTING,ne2_ka04a9517_jetting,14/01/2023,15:38:32,10869,12.9894/77.5711,Golden Residency,,430d 19h 54m,430d,19h,54m,21/11/2022
127,NW11_KA05AD2945_DESILTING,nw11_ka05ad2945_desilting,13/02/2023,12:58:33,7217,12.9745/77.5483,Chord Road,,400d 22h 33m,400d,22h,33m,21/12/2022
129,N11_KA04AA7682_DESILTING,n11_ka04aa7682_desilting,17/02/2023,10:22:14,53504,13.0578/77.5733,Kodigehalli,,397d 01h 10m,397d,01h,10m,24/12/2022
130,NE2_KA049930_TANKER,ne2_ka049930_tanker,17/02/2023,17:47:46,30579,13.0106/77.5674,Malleshwaram,,396d 17h 45m,396d,17h,45m,25/12/2022
131,SW5_KA04C5144_JETTING,sw5_ka04c5144_jetting,08/06/2023,12:14:44,41066,12.8953/77.5418,Vasantpura,,285d 23h 18m,285d,23h,18m,15/04/2023
132,SE6_KA04A9518_JETTING,se6_ka04a9518_jetting,12/06/2023,19:22:16,44969,12.9156/77.6014,BTM Layout 1st Stage,,281d 16h 10m,281d,16h,10m,19/04/2023
134,SE4_KA04A3282_JETTING,se4_ka04a3282_jetting,20/07/2023,19:41:41,23789,12.9827/77.6496,Thippasandra,,243d 15h 51m,243d,15h,51m,27/05/2023
133,NE1_KA04B7112_TANKER,ne1_ka04b7112_tanker,04/07/2023,15:17:53,90683,13.0111/77.5673,Malleshwaram,,224d 00h 33m,224d,00h,33m,15/06/2023
137,N12_KA04A6215_JETTING,n12_ka04a6215_jetting,19/08/2023,10:51:09,17588,13.0253/77.6075,SultÄnpÄlya,,214d 00h 41m,214d,00h,41m,25/06/2023
