Vehicle Description	IMEI
C1_KA04AA9013_DESILTING	864895033188689
C3_KA04D4276_JETTING	868683022801629
E1_KA04A3281_JETTING	868683022830115
E1_KA04AA9026_DESILTING	864895033187632
E1_KA04AB6024_JETTING	864895033187848
E2_KA04AA9023_DESILTING	864895033187608
E2_KA04AB6020_JETTING	864895033187541
E3_KA02AC5938_JETTING	868683022796415
E3_KA02AF6874_TANKER	864895033187186
E3_KA04AA9032_DESILTING	864895033187244
E3_KA04AB6023_JETTING	864895033187962
E4_KA04AA7684_DESILTING	864895033188382
E4_KA04AB6022_JETTING	864895033188085
E4_KA04D5309_TANKER	868683022806313
N1_KA04AA9031_DESILTING	864895033187277
N1_KA04C5141_JETTING	868683022802379
N1_KA04D4274_JETTING	864180032711678
N2_KA04AA9015_DESILTING	864895033187756
N2_KA04AB5791_JETTING	864895033187814
N3_KA04AD5792_JETTING	864895033186550
N3_KA04D5128_TANKER	868683022833291
NE3_KA04A3042_JETTING	864180032931144
NE3_KА04AA9930_TANKER	868683022155752
NE3_KA04C5140_JETTING	868683022541209
NW2_KA04AA9025_DESILTING	864895033187392
NW3_KA04AA7686_DESILTING	868683022864460
NW3_KA04AB6028_JETTING	864895033187301
NW3_KA04C2197_JETTING	868683022799567
NW3_KA04D5165_JETTING	868683022801355
S1_KA04D5428_TANKER	868683022806321
S1_KA05AD2936_DESILTING	864180032935095
S2_KA04AA7680_DESILTING	864180032937844
S2_KA04D5296_TANKER	868683022805448
S3_KA04C5146_JETTING	868683022800498
S3_KA04D8086_TANKER	868683022802148
S4_KA04AB5798_JETTING	864895033187871
SE1_KA05AD2948_DESILTING	864895033187459
SE2_KA04AA7681_DESILTING	864895033187426
SE2_KA04C2090_JETTING	868683022806677
SE2_KA04D4611_JETTING	868683022797769
SE3_KA02AC5940_JETTING	868683022791069
SE3_KA04AB5801_JETTING	864895033187723
SW1_KA01B9896_TANKER	868683022800662
C1_KA041A7291_JETTING	868683022808483
SW1_KA04D4872_JETTING	868683022805919
SW2_KA04AB5797_JETTING	864895033186469
SW4_KA04AA9016_DESILTING	864895033187780
SW4_KA04AA9021_DESILTING	864895033186790
SW4_KA05B6540_JETTING	868683022801348
W1_KA02D3148_TANKER	868683022830289
W1_KA04C9408_JETTING	864180032710613
W3_KA04D5237_TANKER	868683022803435
W4_KA02D3152_TANKER	864180032741162
C1_KA01D7292_JETTING	868683022790962
C1_KA04AD2944_DESILTING	868683022797280
C1_KA04C5127_JETTING	868683022786754
C1_KA04D4107_JETTING	868683022788198
C1_KA04D5121_TANKER	868683022802015
C2_KA02AC5935_JETTING	868683022490233
C2_KA02AC5950_JETTING	868683022809655
C2_KA03B965_JETTING	864180032712791
C2_KA03C5048_TANKER	868683022795151
C2_KA03C5064_TANKER	868683022997435
C2_KA04AA7688_DESILTING	868683022407500
C2_KA04AA9028_DESILTING	864895033188358
C2_KA04C5160_JETTING	868683022807170
E1_KA04D5122_TANKER	868683022806925
E11_KA04C5158_JETTING	868683022811404
E11_KA04D5163_JETTING	868683022805422
E11_KA04D5289_TANKER	868683022792505
E11_KA04D5291_TANKER	NA
E12_KA04D6648_JETTING	868683022810588
E12_KA04D6650_JETTING	868683022791861
E13_KA02AC4534_JETTING	868683022800233
E21_KA02AC4521_JETTING	868683022790319
E21_KA03C5060_TANKER	868683022800472
E21_KA04D4862_JETTING	868683022846319
E22_KA04C5153_JETTING	868683022790111
E23_KA04C3716_JETTING	868683022789915
E24_KA03C5056_TANKER	868683022832897
E24_KA04C5159_JETTING	868683022788388
E24_KA04D4157_JETTING	868683022818896
E24_KA04D5127_TANKER	868683022786507
EE_WWMNH_A_V_KA53B3470_SUCTION	868683022488682
EE_WWMNH_A_V_KA53B3471_SUCTION	868683022800670
EE_WWMNK_T_V_KA53B3469_JETTING	868683022540763
N11_KA04AA7682_DESILTING	8991000903999319608
N11_KA04C5142_JETTING	868683022488278
N11_KA04D6659_JETTING	868683022490530
N12_KA04A6215_JETTING	864895033188473
N12_KA04AA1780_DESILTING	868683022808491
N12_KA04AA1781_DESILTING	868683022807105
N12_KA04AA1783_DESILTING	868683022805455
N12_KA04AA1784_DESILTING	868683022883700
N12_KA04B7114_TANKER	868683022407427
N12_KA04C3715_JETTING	868683022153252
N12_KA04D4115_JETTING	868683022492866
N21_KA02AC4524_JETTING	868683022871317
N21_KA04C2201_JETTING	868683022811453
N21_KA04D5125_TANKER	868683022793727
N22_KA02AC4516_JETTING	868683022153823
N22_KA04D4102_JETTING	359710040534845
NE1_KA03C5068_TANKER	864180032935525
NE1_KA04A6216_JETTING	864180032935368
NE1_KA04A9515_JETTING	NA
NE1_KA04A9516_JETTING	868683022153708
NE1_KA04AA7689_JETTING	868683022153013
NE1_KA04B7111_TANKER	868683022154987
NE1_KA04B7112_TANKER	868683022489854
NE1_KA04C5136_JETTING	868683022416212
NE1_KA04D5158_JETTING	868683022794774
NE1_KA04N1245_JEEP	868683022808590
NE2_KA02AC5944_JETTING	868683022482057
NE2_KA049930_TANKER	868683022155752
NE2_KA04A3048_JETTING	NA
NE2_KA04A9517_JETTING	868683022810646
NE2_KA04AA1782_DESILTING	868683022802221
NE2_KA04AB5800_JETTING	864895033188507
NE2_KA04B7110_TANKER	868683020517144
NE2_KA04C5137_JETTING	868683022489599
NE2_KA04D4272_JETTING	868683022152890
NE2_KA04D5294_TANKER	868683022830537
NE2_KA05AD2943_DESILTING	864895033188655
NE3_KA04AA1789_DESILTING	868683022797173
NW1_KA04A9519_JETTING	868683022799666
NW1_KA04B6770_JETTING	868683022795102
NW1_KA04C5131_JETTING	868683022797413
NW1_KA04D3161_TANKER	868683022870905
NW1_KA04D4278_JETTING	868683022791408
NW1_KA04D6656_JETTING	868683022789576
NW11_KA02B6769_JETTING	868683022502086
NW11_KA04A3047_JETTING	868683022837441
NW11_KA04D6653_JETTING	868683022805711
NW11_KA05AD2945_DESILTING	868683022790244
NW12_KA04D4601_JETTING	868683022795888
NW3_KA04A3043_JETTING	868683022790566
NW3_KA04AB6025_JETTING	864180032927530
NW3_KA04C5133_JETTING	868683022837615
NW3_KA04D4113_JETTING	868683022789519
NW3_KA04D5126_TANKER	868683022791127
NW3_KA04D5235_TANKER	868683022812196
NW4_KA04AC5936_TANKER	868683022883189
NW4_KA04C5135_JETTING	868683022828838
S11_KA04C2198_JETTING	868683022798734
S11_KA04C2203_JETTING	868683022809051
S11_KA04C5151_JETTING	868683022801777
S11_KA04D4104_JETTING	868683022800639
S11_KA04D4106_JETTING	868683022797850
S11_KA04D5124_TANKER	868683022808400
S11_KA04D5161_JETTING	868683022871705
S11_KA04D5298_TANKER	868683022787109
S11_KA05D6540_JETTING	868683022801348
S12_KA04AA7683_DESILTING	864895033187905
S12_KA04C4868_JETTING	868683022795904
S12_KA04C5145_JETTING	868683022795698
S12_KA04C5152_JETTING	868683022792125
S12_KA04D4603_JETTING	868683022786374
S12_KA05D8083_TANKER	868683022791846
S13_KA04C5149_JETTING	868683022802304
SE1_CAW210_TANKER	868683022788230
SE1_CAW313_TANKER	868683022790194
SE1_KA03B964_JETTING	864180032743481
SE1_KA04A3046_JETTING	868683022806701
SE1_KA04AA9030_DESILTING	864895033188051
SE1_KA04AB5793_JETTING	864895033188028
SE1_KA04AB5794_JETTING	864895033188200
SE1_KA04C5150_JETTING	868683022807170
SE1_KA04D4110_JETTING	868683022810604
SE1_KA04D5303_TANKER	868683022831857
SE2_KA049409_JETTING	868683022807089
SE2_KA04C5154_JETTING	868683022810729
SE2_KA04D6651_JETTING	868683022806834
SE2_KA05D8227_TANKER	868683022791184
SE4_KA04A3282_JETTING	868683022809416
SE4_KA04A7681_DESILTING	864895033187426
SE5_KA04A3044_JETTING	868683022806032
SE5_KA04AA7687_DESILTING	864895033187368
SE5_KA04D4155_JETTING	868683022796605
SE5_KA04D5311_TANKER	868683022798155
SE5_KA05B8084_TANKER	868683022811289
SE6_KA04A9518_JETTING	868683022786770
SE6_KA04AA9017_DESILTING	868683022801686
SE6_KA04D6654_JETTING	868683022798148
STP_CUBBON_PARK_KA05D8079_TANKER	868683022791200
SW1_KA02AC5939_JETTING	868683022806388
SW1_KA04A7291_JETTING	868683022808483
SW1_KA04C5126_JETTING	868683022790160
SW1_KA04D5123_TANKER	868683022810091
SW2_CAW236_JETTING	864180032709409
SW2_CAW311_TANKER	868683022810737
SW2_KA04A3045_JETTING	868683022789451
SW2_KA04A9520_JETTING	868683022796886
SW2_KA04A9522_JETTING	868683022788487
SW2_KA04AA7685_DESILTING	868683022810349
SW2_KA04C5161_JETTING	868683022791812
SW2_KA04D4607_JETTING	868683022811206
SW3_KA02AC5929_JETTING	868683022790350
SW3_KA04A9513_JETTING	868683022809770
SW3_KA04C5147_JETTING	868683022806693
SW3_KA05A8077_TANKER	868683022800043
SW3_KA05AD2942_DESILTING	868683022791820
SW4_KA04C5143_JETTING	868683022791705
SW4_KA04D4605_JETTING	868683022786416
SW4_KA04D5285_TANKER	868683022798700
SW5_KA03C5043_TANKER	868683022789287
SW5_KA04C5144_JETTING	868683022789683
SW5_KA04D4270_JETTING	868683022789865
SW5_KA05B6541_JETTING	868683022788222
SW6_KA04C5129_JETTING	868683022790178
SW6_KA04D5233_TANKER	868683022791093
W21_KA04A9521_JETTING	868683022997898
W21_KA04D4156_JETTING	868683022810166
W21_KA04D5156_JETTING	864180032617719
W21_KA04D5305_TANKER	868683022796183
W22_KA01A5947_JETTING	864180032708898
W22_KA04C5134_JETTING	868683022800837
W22_KA04D4864_JETTING	868683022797256
WWM_KA53B3474_DUMPING	868683022787893
WWM_KA53B3475_DUMPING	868683022786689
WWM_KA53B3476_DUMPING	868683022809861
WWM_KA53B3477_DUMPING	868683022790533
WWM_KC1_KA04AA5948_DESILTING	868683022788990
WWM_KC2_KA53B3472_JETTING	868683022871598
WWM_KC2_KA53B3473_DUMPTANKER	868683022488088
WWM_VV1_KA04AA9029_DESILTING	864895033187483
WWM_VV1_KA53B3459_DUMPING	868683022997278
WWM_VV1_KA53B3460_JETTING	868683022800720
WWM_VV1_KA53B3461_DUMPTANKER	864895033188325
WWM_VV2_KA41AB5933_RECYCLER	864180032610003
WWMN_CV1_KA04AA9020_DESILTING	868683022786671
WWMN_CV1_KA53B3463_DUMPTANKER	868683022824142
WWMN_CV1_KA53B3464_JETTING	868683022491421
WWMN_CV1_KA53B3468_JETTING	864180032711736
WWW_V_VV1_KA53B3462_JETTING	868683022800753
WWW_V_VV1_KA53B3465_JETTING	868683022871838
WWW_V_VV1_KA53B3467_JETTING	868683022802296
